"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2022/04/04","14:00","0.133","-","0.26"
"2022/04/04","15:00","0.238","-","0.363"
"2022/04/04","16:00","0.276","-","0.414"
"2022/04/04","17:00","0.213","-","0.311"
"2022/04/04","18:00","0.07","-","0.162"
"2022/04/04","19:00","-0.089","-","0.003"
"2022/04/04","20:00","-0.22","-","-0.129"
"2022/04/04","21:00","-0.32","-","-0.243"
"2022/04/04","22:00","-0.376","-","-0.289"
"2022/04/04","23:00","-0.354","-","-0.222"
"2022/04/05","00:00","-0.245","-","-0.123"
"2022/04/05","01:00","-0.091","-","0.029"
"2022/04/05","02:00","0.063","-","0.18"
"2022/04/05","03:00","0.198","-","0.309"
"2022/04/05","04:00","0.286","-","0.395"
"2022/04/05","05:00","0.285","-","0.39"
"2022/04/05","06:00","0.187","-","0.276"
"2022/04/05","07:00","0.043","-","0.131"
"2022/04/05","08:00","-0.09","-","0.006"
"2022/04/05","09:00","-0.196","-","-0.107"
"2022/04/05","10:00","-0.269","-","-0.176"
"2022/04/05","11:00","-0.283","-","-0.165"
"2022/04/05","12:00","-0.213","-","-0.076"
"2022/04/05","13:00","-0.085","-","0.053"
"2022/04/05","14:00","0.049","-","0.164"
"2022/04/05","15:00","0.16","-","0.267"
"2022/04/05","16:00","0.232","-","0.328"
"2022/04/05","17:00","0.237","-","0.319"
"2022/04/05","18:00","0.15","-","0.23"
"2022/04/05","19:00","0.005","-","0.101"
"2022/04/05","20:00","-0.136","-","-0.043"
"2022/04/05","21:00","-0.243","-","-0.162"
"2022/04/05","22:00","-0.318","-","-0.231"
"2022/04/05","23:00","-0.348","-","-0.251"
"2022/04/06","00:00","-0.303","-","-0.194"
"2022/04/06","01:00","-0.185","-","-0.055"
"2022/04/06","02:00","-0.038","-","0.083"
"2022/04/06","03:00","0.096","-","0.205"
"2022/04/06","04:00","0.204","-","0.319"
"2022/04/06","05:00","0.262","-","0.376"
"2022/04/06","06:00","0.236","-","0.309"
"2022/04/06","07:00","0.128","-","0.211"
"2022/04/06","08:00","-0.005","-","0.086"
"2022/04/06","09:00","-0.116","-","-0.023"
"2022/04/06","10:00","-0.197","-","-0.109"
"2022/04/06","11:00","-0.247","-","-0.14"
"2022/04/06","12:00","-0.238","-","-0.124"
"2022/04/06","13:00","-0.155","-","-0.041"
"2022/04/06","14:00","-0.031","-","0.086"
"2022/04/06","15:00","0.082","-","0.178"
"2022/04/06","16:00","0.167","-","0.263"
"2022/04/06","17:00","0.212","-","0.31"
"2022/04/06","18:00","0.192","-","0.261"
"2022/04/06","19:00","0.093","-","0.152"
"2022/04/06","20:00","-0.044","-","0.041"
"2022/04/06","21:00","-0.163","-","-0.07"
"2022/04/06","22:00","-0.247","-","-0.172"
"2022/04/06","23:00","-0.303","-","-0.22"
"2022/04/07","00:00","-0.315","-","-0.202"
"2022/04/07","01:00","-0.255","-","-0.116"
"2022/04/07","02:00","-0.135","-","0.014"
"2022/04/07","03:00","-0.002","-","0.134"
"2022/04/07","04:00","0.111","-","0.255"
"2022/04/07","05:00","0.195","-","0.353"
"2022/04/07","06:00","0.231","-","0.37"
"2022/04/07","07:00","0.188","-","0.303"
"2022/04/07","08:00","0.081","-","0.215"
"2022/04/07","09:00","-0.036","-","0.103"
"2022/04/07","10:00","-0.125","-","0.024"
"2022/04/07","11:00","-0.187","-","-0.047"
"2022/04/07","12:00","-0.22","-","-0.063"
"2022/04/07","13:00","-0.196","-","-0.02"
"2022/04/07","14:00","-0.108","-","0.088"
"2022/04/07","15:00","0.004","-","0.19"
"2022/04/07","16:00","0.097","-","0.27"
"2022/04/07","17:00","0.159","-","0.332"
"2022/04/07","18:00","0.185","-","0.354"
"2022/04/07","19:00","0.152","-","0.27"
"2022/04/07","20:00","0.052","-","0.177"
"2022/04/07","21:00","-0.072","-","0.071"
"2022/04/07","22:00","-0.171","-","-0.024"
"2022/04/07","23:00","-0.238","-","-0.113"
"2022/04/08","00:00","-0.282","-","-0.119"
"2022/04/08","01:00","-0.283","-","-0.12"
"2022/04/08","02:00","-0.215","-","-0.02"
"2022/04/08","03:00","-0.1","-","0.102"
"2022/04/08","04:00","0.017","-","0.202"
"2022/04/08","05:00","0.111","-","0.319"
"2022/04/08","06:00","0.18","-","0.386"
"2022/04/08","07:00","0.202","-","0.379"
"2022/04/08","08:00","0.153","-","0.291"
"2022/04/08","09:00","0.051","-","0.204"
"2022/04/08","10:00","-0.051","-","0.095"
"2022/04/08","11:00","-0.123","-","0.008"
"2022/04/08","12:00","-0.175","-","-0.057"
"2022/04/08","13:00","-0.198","-","-0.067"
"2022/04/08","14:00","-0.165","-","-0.044"
"2022/04/08","15:00","-0.078","-","0.053"
"2022/04/08","16:00","0.021","-","0.153"
"2022/04/08","17:00","0.096","-","0.244"
"2022/04/08","18:00","0.145","-","0.314"
"2022/04/08","19:00","0.163","-","0.314"
"2022/04/08","20:00","0.125","-","0.249"
"2022/04/08","21:00","0.03","-","0.153"
"2022/04/08","22:00","-0.081","-","0.056"
"2022/04/08","23:00","-0.166","-","-0.039"
"2022/04/09","00:00","-0.226","-","-0.109"
"2022/04/09","01:00","-0.265","-","-0.128"
"2022/04/09","02:00","-0.26","-","-0.145"
"2022/04/09","03:00","-0.19","-","-0.054"
"2022/04/09","04:00","-0.081","-","0.065"
"2022/04/09","05:00","0.022","-","0.157"
"2022/04/09","06:00","0.106","-","0.229"
"2022/04/09","07:00","0.168","-","0.284"
"2022/04/09","08:00","0.185","-","0.284"
"2022/04/09","09:00","0.133","-","0.208"
"2022/04/09","10:00","0.036","-","0.117"
"2022/04/09","11:00","-0.054","-","0.031"
"2022/04/09","12:00","-0.119","-","-0.039"
"2022/04/09","13:00","-0.168","-","-0.1"
"2022/04/09","14:00","-0.188","-","-0.1"
"2022/04/09","15:00","-0.151","-","-0.056"
"2022/04/09","16:00","-0.066","-","0.02"
"2022/04/09","17:00","0.023","-","0.116"
"2022/04/09","18:00","0.088","-","0.177"
"2022/04/09","19:00","0.135","-","0.216"
"2022/04/09","20:00","0.154","-","0.201"
"2022/04/09","21:00","0.117","-","0.167"
"2022/04/09","22:00","0.025","-","0.07"
"2022/04/09","23:00","-0.077","-","-0.034"
"2022/04/10","00:00","-0.157","-","-0.115"
"2022/04/10","01:00","-0.217","-","-0.195"
"2022/04/10","02:00","-0.258","-","-0.21"
"2022/04/10","03:00","-0.25","-","-0.168"
"2022/04/10","04:00","-0.177","-","-0.091"
"2022/04/10","05:00","-0.073","-","-0.031"
"2022/04/10","06:00","0.024","-","0.049"
"2022/04/10","07:00","0.106","-","0.124"
"2022/04/10","08:00","0.169","-","0.178"
"2022/04/10","09:00","0.183","-","0.2"
"2022/04/10","10:00","0.128","-","0.168"
"2022/04/10","11:00","0.032","-","0.094"
"2022/04/10","12:00","-0.056","-","0.023"
"2022/04/10","13:00","-0.123","-","-0.05"
"2022/04/10","14:00","-0.175","-","-0.089"
"2022/04/10","15:00","-0.193","-","-0.072"
"2022/04/10","16:00","-0.153","-","-0.031"
"2022/04/10","17:00","-0.068","-","0.033"
"2022/04/10","18:00","0.017","-","0.113"
"2022/04/10","19:00","0.084","-","0.186"
"2022/04/10","20:00","0.138","-","0.234"
"2022/04/10","21:00","0.162","-","0.253"
"2022/04/10","22:00","0.126","-","0.207"
"2022/04/10","23:00","0.034","-","0.106"
"2022/04/11","00:00","-0.068","-","0.014"
"2022/04/11","01:00","-0.152","-","-0.069"
"2022/04/11","02:00","-0.22","-","-0.144"
"2022/04/11","03:00","-0.264","-","-0.166"
"2022/04/11","04:00","-0.251","-","-0.124"
"2022/04/11","05:00","-0.174","-","-0.047"
"2022/04/11","06:00","-0.068","-","0.053"
"2022/04/11","07:00","0.03","-","0.145"
"2022/04/11","08:00","0.118","-","0.23"
"2022/04/11","09:00","0.185","-","0.289"
"2022/04/11","10:00","0.195","-","0.303"
"2022/04/11","11:00","0.131","-","0.24"
"2022/04/11","12:00","0.029","-","0.142"
"2022/04/11","13:00","-0.065","-","0.048"
"2022/04/11","14:00","-0.141","-","-0.043"
"2022/04/11","15:00","-0.199","-","-0.095"
"2022/04/11","16:00","-0.215","-","-0.101"
"2022/04/11","17:00","-0.167","-","-0.059"
"2022/04/11","18:00","-0.076","-","0.031"
"2022/04/11","19:00","0.014","-","0.118"
"2022/04/11","20:00","0.092","-","0.193"
"2022/04/11","21:00","0.159","-","0.254"
"2022/04/11","22:00","0.188","-","0.282"
"2022/04/11","23:00","0.147","-","0.24"
"2022/04/12","00:00","0.047","-","0.129"
"2022/04/12","01:00","-0.064","-","0.03"
"2022/04/12","02:00","-0.157","-","-0.063"
"2022/04/12","03:00","-0.235","-","-0.141"
"2022/04/12","04:00","-0.28","-","-0.152"
"2022/04/12","05:00","-0.259","-","-0.129"
"2022/04/12","06:00","-0.172","-","-0.043"
"2022/04/12","07:00","-0.059","-","0.075"
"2022/04/12","08:00","0.049","-","0.162"
"2022/04/12","09:00","0.146","-","0.255"
"2022/04/12","10:00","0.214","-","0.338"
"2022/04/12","11:00","0.214","-","0.329"
"2022/04/12","12:00","0.134","-","0.248"
"2022/04/12","13:00","0.016","-","0.142"
"2022/04/12","14:00","-0.091","-","0.031"
"2022/04/12","15:00","-0.177","-","-0.066"
"2022/04/12","16:00","-0.239","-","-0.125"
"2022/04/12","17:00","-0.248","-","-0.136"
"2022/04/12","18:00","-0.186","-","-0.08"
"2022/04/12","19:00","-0.082","-","0.015"
"2022/04/12","20:00","0.023","-","0.112"
"2022/04/12","21:00","0.118","-","0.205"
"2022/04/12","22:00","0.198","-","0.287"
"2022/04/12","23:00","0.227","-","0.318"
"2022/04/13","00:00","0.172","-","0.251"
"2022/04/13","01:00","0.056","-","0.152"
"2022/04/13","02:00","-0.069","-","0.034"
"2022/04/13","03:00","-0.176","-","-0.075"
"2022/04/13","04:00","-0.261","-","-0.151"
"2022/04/13","05:00","-0.302","-","-0.173"
"2022/04/13","06:00","-0.267","-","-0.124"
"2022/04/13","07:00","-0.164","-","-0.031"
"2022/04/13","08:00","-0.038","-","0.095"
"2022/04/13","09:00","0.082","-","0.214"
"2022/04/13","10:00","0.188","-","0.322"
"2022/04/13","11:00","0.251","-","0.376"
"2022/04/13","12:00","0.231","-","0.357"
"2022/04/13","13:00","0.125","-","0.248"
"2022/04/13","14:00","-0.012","-","0.115"
"2022/04/13","15:00","-0.134","-","0.006"
"2022/04/13","16:00","-0.23","-","-0.1"
"2022/04/13","17:00","-0.29","-","-0.166"
"2022/04/13","18:00","-0.283","-","-0.165"
"2022/04/13","19:00","-0.2","-","-0.095"
"2022/04/13","20:00","-0.076","-","0.033"
"2022/04/13","21:00","0.048","-","0.167"
"2022/04/13","22:00","0.162","-","0.286"
"2022/04/13","23:00","0.25","-","0.386"
"2022/04/14","00:00","0.269","-","0.418"
"2022/04/14","01:00","0.193","-","0.34"
"2022/04/14","02:00","0.055","-","0.199"
"2022/04/14","03:00","-0.087","-","0.075"
"2022/04/14","04:00","-0.205","-","-0.051"
"2022/04/14","05:00","-0.293","-","-0.131"
"2022/04/14","06:00","-0.323","-","-0.15"
"2022/04/14","07:00","-0.267","-","-0.093"
"2022/04/14","08:00","-0.144","-","0.047"
"2022/04/14","09:00","-0.002","-","0.187"
"2022/04/14","10:00","0.129","-","0.306"
"2022/04/14","11:00","0.237","-","0.397"
"2022/04/14","12:00","0.286","-","0.445"
"2022/04/14","13:00","0.236","-","0.369"
"2022/04/14","14:00","0.1","-","0.244"
"2022/04/14","15:00","-0.059","-","0.112"
"2022/04/14","16:00","-0.193","-","-0.035"
"2022/04/14","17:00","-0.292","-","-0.162"
"2022/04/14","18:00","-0.343","-","-0.217"
"2022/04/14","19:00","-0.313","-","-0.193"
"2022/04/14","20:00","-0.204","-","-0.076"
"2022/04/14","21:00","-0.056","-","0.108"
"2022/04/14","22:00","0.09","-","0.256"
"2022/04/14","23:00","0.219","-","0.386"
"2022/04/15","00:00","0.306","-","0.454"
"2022/04/15","01:00","0.305","-","0.458"
"2022/04/15","02:00","0.2","-","0.333"
"2022/04/15","03:00","0.039","-","0.174"
"2022/04/15","04:00","-0.116","-","0.043"
"2022/04/15","05:00","-0.241","-","-0.086"
"2022/04/15","06:00","-0.324","-","-0.167"
"2022/04/15","07:00","-0.336","-","-0.179"
"2022/04/15","08:00","-0.255","-","-0.081"
"2022/04/15","09:00","-0.11","-","0.082"
"2022/04/15","10:00","0.046","-","0.231"
"2022/04/15","11:00","0.184","-","0.369"
"2022/04/15","12:00","0.285","-","0.476"
"2022/04/15","13:00","0.309","-","0.518"
"2022/04/15","14:00","0.223","-","0.399"
"2022/04/15","15:00","0.057","-","0.232"
"2022/04/15","16:00","-0.119","-","0.071"
"2022/04/15","17:00","-0.259","-","-0.076"
"2022/04/15","18:00","-0.354","-","-0.188"
"2022/04/15","19:00","-0.387","-","-0.229"
"2022/04/15","20:00","-0.33","-","-0.166"
"2022/04/15","21:00","-0.192","-","-0.007"
"2022/04/15","22:00","-0.021","-","0.163"
"2022/04/15","23:00","0.142","-","0.309"
"2022/04/16","00:00","0.278","-","0.481"
"2022/04/16","01:00","0.354","-","0.584"
"2022/04/16","02:00","0.326","-","0.551"
"2022/04/16","03:00","0.191","-","0.388"
"2022/04/16","04:00","0.011","-","0.213"
"2022/04/16","05:00","-0.152","-","0.054"
"2022/04/16","06:00","-0.275","-","-0.082"
"2022/04/16","07:00","-0.346","-","-0.153"
"2022/04/16","08:00","-0.334","-","-0.129"
"2022/04/16","09:00","-0.227","-","-0.015"
"2022/04/16","10:00","-0.064","-","0.157"
"2022/04/16","11:00","0.101","-","0.301"
"2022/04/16","12:00","0.238","-","0.446"
"2022/04/16","13:00","0.323","-","0.53"
"2022/04/16","14:00","0.314","-","0.531"
"2022/04/16","15:00","0.191","-","0.37"
"2022/04/16","16:00","0","-","0.18"
"2022/04/16","17:00","-0.184","-","0.018"
"2022/04/16","18:00","-0.322","-","-0.127"
"2022/04/16","19:00","-0.406","-","-0.235"
"2022/04/16","20:00","-0.417","-","-0.255"
"2022/04/16","21:00","-0.331","-","-0.159"
"2022/04/16","22:00","-0.165","-","0.022"
"2022/04/16","23:00","0.024","-","0.204"
"2022/04/17","00:00","0.196","-","0.36"
"2022/04/17","01:00","0.329","-","0.511"
"2022/04/17","02:00","0.385","-","0.566"
"2022/04/17","03:00","0.326","-","0.499"
"2022/04/17","04:00","0.166","-","0.305"
"2022/04/17","05:00","-0.025","-","0.119"
"2022/04/17","06:00","-0.186","-","-0.038"
"2022/04/17","07:00","-0.301","-","-0.16"
"2022/04/17","08:00","-0.354","-","-0.212"
"2022/04/17","09:00","-0.317","-","-0.146"
"2022/04/17","10:00","-0.186","-","-0.016"
"2022/04/17","11:00","-0.01","-","0.165"
"2022/04/17","12:00","0.155","-","0.304"
"2022/04/17","13:00","0.282","-","0.438"
"2022/04/17","14:00","0.343","-","0.512"
"2022/04/17","15:00","0.3","-","0.463"
"2022/04/17","16:00","0.146","-","0.284"
"2022/04/17","17:00","-0.06","-","0.097"
"2022/04/17","18:00","-0.243","-","-0.065"
"2022/04/17","19:00","-0.371","-","-0.211"
"2022/04/17","20:00","-0.44","-","-0.291"
"2022/04/17","21:00","-0.427","-","-0.283"
"2022/04/17","22:00","-0.314","-","-0.154"
"2022/04/17","23:00","-0.129","-","0.043"
"2022/04/18","00:00","0.069","-","0.237"
"2022/04/18","01:00","0.24","-","0.427"
"2022/04/18","02:00","0.362","-","0.565"
"2022/04/18","03:00","0.394","-","0.611"
"2022/04/18","04:00","0.307","-","0.497"
"2022/04/18","05:00","0.129","-","0.291"
"2022/04/18","06:00","-0.061","-","0.121"
"2022/04/18","07:00","-0.212","-","-0.028"
"2022/04/18","08:00","-0.313","-","-0.135"
"2022/04/18","09:00","-0.347","-","-0.152"
"2022/04/18","10:00","-0.286","-","-0.067"
"2022/04/18","11:00","-0.138","-","0.08"
"2022/04/18","12:00","0.041","-","0.239"
"2022/04/18","13:00","0.199","-","0.378"
"2022/04/18","14:00","0.309","-","0.485"
"2022/04/18","15:00","0.344","-","0.525"
"2022/04/18","16:00","0.27","-","0.41"
"2022/04/18","17:00","0.095","-","0.21"
"2022/04/18","18:00","-0.113","-","0.062"
"2022/04/18","19:00","-0.285","-","-0.096"
"2022/04/18","20:00","-0.4","-","-0.232"
"2022/04/18","21:00","-0.452","-","-0.296"
"2022/04/18","22:00","-0.419","-","-0.25"
"2022/04/18","23:00","-0.287","-","-0.132"
"2022/04/19","00:00","-0.092","-","0.086"
"2022/04/19","01:00","0.105","-","0.271"
"2022/04/19","02:00","0.268","-","0.439"
"2022/04/19","03:00","0.373","-","0.551"
"2022/04/19","04:00","0.382","-","0.571"
"2022/04/19","05:00","0.273","-","0.429"
"2022/04/19","06:00","0.091","-","0.236"
"2022/04/19","07:00","-0.09","-","0.07"
"2022/04/19","08:00","-0.225","-","-0.092"
"2022/04/19","09:00","-0.31","-","-0.19"
"2022/04/19","10:00","-0.326","-","-0.185"
"2022/04/19","11:00","-0.248","-","-0.095"
"2022/04/19","12:00","-0.092","-","0.054"
"2022/04/19","13:00","0.082","-","0.213"
"2022/04/19","14:00","0.225","-","0.357"
"2022/04/19","15:00","0.316","-","0.479"
"2022/04/19","16:00","0.328","-","0.501"
"2022/04/19","17:00","0.233","-","0.384"
"2022/04/19","18:00","0.05","-","0.188"
"2022/04/19","19:00","-0.149","-","0.014"
"2022/04/19","20:00","-0.304","-","-0.146"
"2022/04/19","21:00","-0.404","-","-0.254"
"2022/04/19","22:00","-0.444","-","-0.282"
"2022/04/19","23:00","-0.397","-","-0.219"
"2022/04/20","00:00","-0.254","-","-0.07"
"2022/04/20","01:00","-0.061","-","0.114"
"2022/04/20","02:00","0.126","-","0.314"
"2022/04/20","03:00","0.274","-","0.484"
"2022/04/20","04:00","0.362","-","0.6"
"2022/04/20","05:00","0.353","-","0.598"
"2022/04/20","06:00","0.234","-","0.442"
"2022/04/20","07:00","0.058","-","0.248"
"2022/04/20","08:00","-0.105","-","0.088"
"2022/04/20","09:00","-0.224","-","-0.043"
"2022/04/20","10:00","-0.295","-","-0.114"
"2022/04/20","11:00","-0.299","-","-0.108"
"2022/04/20","12:00","-0.211","-","-0.021"
"2022/04/20","13:00","-0.057","-","0.124"
"2022/04/20","14:00","0.104","-","0.262"
"2022/04/20","15:00","0.23","-","0.396"
"2022/04/20","16:00","0.304","-","0.469"
"2022/04/20","17:00","0.301","-","0.475"
"2022/04/20","18:00","0.197","-","0.354"
"2022/04/20","19:00","0.019","-","0.174"
"2022/04/20","20:00","-0.161","-","0.003"
"2022/04/20","21:00","-0.299","-","-0.148"
"2022/04/20","22:00","-0.388","-","-0.257"
"2022/04/20","23:00","-0.421","-","-0.285"
"2022/04/21","00:00","-0.368","-","-0.213"
"2022/04/21","01:00","-0.225","-","-0.072"
"2022/04/21","02:00","-0.042","-","0.109"
"2022/04/21","03:00","0.128","-","0.268"
"2022/04/21","04:00","0.262","-","0.42"
"2022/04/21","05:00","0.337","-","0.502"
"2022/04/21","06:00","0.317","-","0.483"
"2022/04/21","07:00","0.199","-","0.346"
"2022/04/21","08:00","0.038","-","0.192"
"2022/04/21","09:00","-0.105","-","0.057"
"2022/04/21","10:00","-0.21","-","-0.055"
"2022/04/21","11:00","-0.274","-","-0.109"
"2022/04/21","12:00","-0.272","-","-0.088"
"2022/04/21","13:00","-0.184","-","-0.002"
"2022/04/21","14:00","-0.038","-","0.147"
"2022/04/21","15:00","0.106","-","0.282"
"2022/04/21","16:00","0.216","-","0.403"
"2022/04/21","17:00","0.28","-","0.485"
"2022/04/21","18:00","0.272","-","0.479"
"2022/04/21","19:00","0.171","-","0.381"
"2022/04/21","20:00","0.009","-","0.206"
"2022/04/21","21:00","-0.15","-","0.055"
"2022/04/21","22:00","-0.273","-","-0.076"
"2022/04/21","23:00","-0.358","-","-0.178"
"2022/04/22","00:00","-0.391","-","-0.195"
"2022/04/22","01:00","-0.339","-","-0.143"
"2022/04/22","02:00","-0.205","-","-0.01"
"2022/04/22","03:00","-0.038","-","0.141"
"2022/04/22","04:00","0.115","-","0.307"
"2022/04/22","05:00","0.238","-","0.435"
"2022/04/22","06:00","0.306","-","0.514"
"2022/04/22","07:00","0.285","-","0.504"
"2022/04/22","08:00","0.176","-","0.397"
"2022/04/22","09:00","0.033","-","0.256"
"2022/04/22","10:00","-0.094","-","0.117"
"2022/04/22","11:00","-0.192","-","0.013"
"2022/04/22","12:00","-0.256","-","-0.054"
"2022/04/22","13:00","-0.255","-","-0.057"
"2022/04/22","14:00","-0.172","-","0.021"
"2022/04/22","15:00","-0.04","-","0.158"
"2022/04/22","16:00","0.087","-","0.289"
"2022/04/22","17:00","0.188","-","0.397"
"2022/04/22","18:00","0.252","-","0.471"
"2022/04/22","19:00","0.249","-","0.463"
"2022/04/22","20:00","0.161","-","0.342"
"2022/04/22","21:00","0.019","-","0.195"
"2022/04/22","22:00","-0.121","-","0.051"
"2022/04/22","23:00","-0.235","-","-0.075"
"2022/04/23","00:00","-0.323","-","-0.172"
"2022/04/23","01:00","-0.362","-","-0.187"
"2022/04/23","02:00","-0.317","-","-0.127"
"2022/04/23","03:00","-0.195","-","0.007"
"2022/04/23","04:00","-0.046","-","0.171"
"2022/04/23","05:00","0.094","-","0.307"
"2022/04/23","06:00","0.212","-","0.423"
"2022/04/23","07:00","0.281","-","0.5"
"2022/04/23","08:00","0.265","-","0.485"
"2022/04/23","09:00","0.167","-","0.376"
"2022/04/23","10:00","0.039","-","0.243"
"2022/04/23","11:00","-0.077","-","0.122"
"2022/04/23","12:00","-0.176","-","0.011"
"2022/04/23","13:00","-0.247","-","-0.055"
"2022/04/23","14:00","-0.252","-","-0.042"
"2022/04/23","15:00","-0.178","-","0.04"
"2022/04/23","16:00","-0.06","-","0.171"
"2022/04/23","17:00","0.056","-","0.286"
"2022/04/23","18:00","0.157","-","0.391"
"2022/04/23","19:00","0.23","-","0.464"
"2022/04/23","20:00","0.24","-","0.464"
"2022/04/23","21:00","0.168","-","0.371"
"2022/04/23","22:00","0.045","-","0.233"
"2022/04/23","23:00","-0.081","-","0.105"
"2022/04/24","00:00","-0.194","-","-0.016"
"2022/04/24","01:00","-0.292","-","-0.108"
"2022/04/24","02:00","-0.34","-","-0.135"
"2022/04/24","03:00","-0.304","-","-0.093"
"2022/04/24","04:00","-0.195","-","0.035"
"2022/04/24","05:00","-0.06","-","0.183"
"2022/04/24","06:00","0.073","-","0.314"
"2022/04/24","07:00","0.193","-","0.422"
"2022/04/24","08:00","0.268","-","0.49"
"2022/04/24","09:00","0.258","-","0.478"
"2022/04/24","10:00","0.169","-","0.369"
"2022/04/24","11:00","0.051","-","0.24"
"2022/04/24","12:00","-0.064","-","0.119"
"2022/04/24","13:00","-0.172","-","0.006"
"2022/04/24","14:00","-0.252","-","-0.069"
"2022/04/24","15:00","-0.265","-","-0.072"
"2022/04/24","16:00","-0.199","-","-0.004"
"2022/04/24","17:00","-0.091","-","0.12"
"2022/04/24","18:00","0.023","-","0.242"
"2022/04/24","19:00","0.132","-","0.344"
"2022/04/24","20:00","0.221","-","0.433"
"2022/04/24","21:00","0.247","-","0.48"
"2022/04/24","22:00","0.189","-","0.405"
"2022/04/24","23:00","0.078","-","0.271"
"2022/04/25","00:00","-0.043","-","0.139"
"2022/04/25","01:00","-0.162","-","0.013"
"2022/04/25","02:00","-0.272","-","-0.088"
"2022/04/25","03:00","-0.329","-","-0.133"
"2022/04/25","04:00","-0.3","-","-0.099"
"2022/04/25","05:00","-0.2","-","-0.002"
